userid;campaignid;datetime;action
13;2018-04-06;2018-04-09 04:13:48;open
14;2018-04-06;2018-04-08 07:37:35;open
15;2018-04-06;2018-04-08 00:19:17;open
18;2018-04-06;2018-04-07 20:58:04;open
14;2018-04-06;2018-04-07 17:11:31;click
14;2018-04-06;2018-04-07 17:10:50;open
11;2018-04-06;2018-04-07 14:45:29;open
19;2018-04-06;2018-04-07 10:08:01;click
17;2018-04-06;2018-04-07 08:05:39;open
19;2018-04-06;2018-04-07 02:24:40;click
19;2018-04-06;2018-04-07 02:23:57;click
03;2018-04-06;2018-04-07 01:07:07;click
03;2018-04-06;2018-04-07 01:06:17;click
03;2018-04-06;2018-04-07 01:05:57;open
16;2018-04-06;2018-04-06 23:44:45;open
24;2018-04-06;2018-04-06 23:00:46;click
24;2018-04-06;2018-04-06 22:58:23;open
21;2018-03-16;2018-03-26 17:18:46;open
13;2018-03-16;2018-03-26 16:54:59;open
13;2018-03-16;2018-03-26 16:54:46;click
13;2018-03-16;2018-03-26 16:48:48;click
13;2018-03-16;2018-03-26 16:47:45;open
13;2018-03-16;2018-03-22 16:39:28;open
13;2018-03-16;2018-03-22 16:39:26;open
13;2018-03-16;2018-03-22 16:39:25;open
13;2018-03-16;2018-03-22 16:39:19;open
13;2018-03-16;2018-03-22 16:39:18;open
13;2018-03-16;2018-03-22 16:39:17;open
13;2018-03-16;2018-03-22 16:39:00;open
14;2018-03-16;2018-03-21 20:29:57;open
25;2018-03-16;2018-03-21 13:44:54;open
04;2018-03-16;2018-03-20 11:20:59;open
10;2018-03-16;2018-03-20 10:34:59;click
10;2018-03-16;2018-03-20 10:34:55;click
13;2018-03-16;2018-03-19 21:02:44;click
13;2018-03-16;2018-03-19 21:02:34;open
03;2018-03-16;2018-03-19 19:33:56;open
13;2018-03-16;2018-03-19 17:26:16;click
13;2018-03-16;2018-03-19 15:29:12;open
06;2018-03-16;2018-03-19 14:38:26;open
10;2018-03-16;2018-03-19 11:55:25;click
10;2018-03-16;2018-03-19 11:55:18;click
10;2018-03-16;2018-03-19 11:55:17;click
10;2018-03-16;2018-03-19 11:55:13;click
25;2018-03-16;2018-03-19 10:39:43;open
18;2018-03-16;2018-03-19 10:03:51;open
21;2018-03-16;2018-03-19 09:40:53;open
06;2018-03-16;2018-03-19 02:53:38;open
18;2018-03-16;2018-03-18 20:52:41;open
15;2018-03-16;2018-03-18 16:41:30;open
14;2018-03-16;2018-03-17 07:03:19;open
01;2018-03-16;2018-03-16 23:46:50;click
01;2018-03-16;2018-03-16 23:38:56;click
01;2018-03-16;2018-03-16 23:38:45;open
16;2018-03-16;2018-03-16 23:34:39;open
10;2018-03-02;2018-03-12 12:18:45;click
10;2018-03-02;2018-03-12 12:18:22;click
